sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_BTK_0095	BTK	ITK	0.2554	17	exact
dec_BTK_0095	BTK	EGFR	0.1129		exact
dec_BTK_0095	BTK	BMX	0.2689	6	exact
dec_BTK_0095	BTK	TEC	0.2699	4	exact
dec_BTK_0095	BTK	ERBB2	0.1316		exact
dec_BTK_0095	BTK	ERBB4	0.1198		exact
dec_BTK_0096	BTK	CSK	0.2043	66	exact
dec_BTK_0096	BTK	ITK	0.2705	7	exact
dec_BTK_0096	BTK	EGFR	0.1110		exact
dec_BTK_0096	BTK	BMX	0.2883	5	exact
dec_BTK_0096	BTK	TEC	0.2862	6	exact
dec_BTK_0096	BTK	ERBB2	0.1240		exact
dec_BTK_0096	BTK	ERBB4	0.1054		exact
dec_BTK_0098	BTK	CSK	0.1553		exact
dec_BTK_0098	BTK	ITK	0.2667	7	exact
dec_BTK_0098	BTK	EGFR	0.0812		exact
dec_BTK_0098	BTK	BMX	0.2638	8	exact
dec_BTK_0098	BTK	TEC	0.2783	4	exact
dec_BTK_0098	BTK	ERBB2	0.1121		exact
dec_BTK_0098	BTK	ERBB4	0.0897		exact
dec_BTK_0102	BTK	CSK	0.1850		exact
dec_BTK_0102	BTK	ITK	0.2184		exact
dec_BTK_0102	BTK	EGFR	0.0804		exact
dec_BTK_0102	BTK	BMX	0.2706	47	exact
dec_BTK_0102	BTK	TEC	0.2508	49	exact
dec_BTK_0102	BTK	ERBB2	0.0939		exact
dec_BTK_0102	BTK	ERBB4	0.0802		exact
dec_BTK_0103	BTK	CSK	0.1592		exact
dec_BTK_0103	BTK	ITK	0.2889	4	exact
dec_BTK_0103	BTK	EGFR	0.0776		exact
dec_BTK_0103	BTK	BMX	0.2704	9	exact
dec_BTK_0103	BTK	TEC	0.2640	24	exact
dec_BTK_0103	BTK	ERBB2	0.0782		exact
dec_BTK_0103	BTK	ERBB4	0.0929		exact
dec_BTK_0104	BTK	CSK	0.0920		exact
dec_BTK_0104	BTK	ITK	0.1830	50	exact
dec_BTK_0104	BTK	EGFR	0.0151		exact
dec_BTK_0104	BTK	BMX	0.2680	39	exact
dec_BTK_0104	BTK	TEC	0.2180	48	exact
dec_BTK_0104	BTK	ERBB2	0.0145		exact
dec_BTK_0104	BTK	ERBB4	0.0049		exact
dec_BTK_0106	BTK	CSK	0.1678		exact
dec_BTK_0106	BTK	ITK	0.2718	5	exact
dec_BTK_0106	BTK	EGFR	0.1667		exact
dec_BTK_0106	BTK	BMX	0.2574	12	exact
dec_BTK_0106	BTK	TEC	0.2731	4	exact
dec_BTK_0106	BTK	ERBB2	0.1750		exact
dec_BTK_0106	BTK	ERBB4	0.1743		exact
dec_BTK_0108	BTK	CSK	0.1450		exact
dec_BTK_0108	BTK	ITK	0.2630	44	exact
dec_BTK_0108	BTK	EGFR	0.0928		exact
dec_BTK_0108	BTK	BMX	0.2874	42	exact
dec_BTK_0108	BTK	TEC	0.2908	4	exact
dec_BTK_0108	BTK	ERBB2	0.1147		exact
dec_BTK_0108	BTK	ERBB4	0.1226		exact
dec_BTK_0110	BTK	CSK	0.1380		exact
dec_BTK_0110	BTK	ITK	0.1952	52	exact
dec_BTK_0110	BTK	EGFR	0.0973		exact
dec_BTK_0110	BTK	BMX	0.2764	34	exact
