sample_name	target	off_target	off_target_pidx	cosine
dec_ALK_0039	ALK	NTRK3	22412	0.1205
dec_ALK_0039	ALK	ROS1	9115	0.1268
dec_ALK_0040	ALK	NTRK1	20132	0.1338
dec_ALK_0040	ALK	NTRK2	22429	0.1054
dec_ALK_0040	ALK	NTRK3	22412	0.1589
dec_ALK_0040	ALK	ROS1	9115	0.0845
dec_ALK_0041	ALK	NTRK1	20132	0.0902
dec_ALK_0041	ALK	NTRK2	22429	0.0679
dec_ALK_0041	ALK	NTRK3	22412	0.0978
dec_ALK_0041	ALK	ROS1	9115	0.1115
dec_ALK_0042	ALK	NTRK1	20132	0.1045
dec_ALK_0042	ALK	NTRK2	22429	0.0828
dec_ALK_0042	ALK	NTRK3	22412	0.0979
dec_ALK_0042	ALK	ROS1	9115	0.1077
dec_ALK_0043	ALK	NTRK1	20132	0.1596
dec_ALK_0043	ALK	NTRK2	22429	0.0998
dec_ALK_0043	ALK	NTRK3	22412	0.1233
dec_ALK_0043	ALK	ROS1	9115	0.1248
dec_ALK_0044	ALK	NTRK1	20132	0.0901
dec_ALK_0044	ALK	NTRK2	22429	0.0603
dec_ALK_0044	ALK	NTRK3	22412	0.0714
dec_ALK_0044	ALK	ROS1	9115	0.0930
dec_ALK_0045	ALK	NTRK1	20132	0.0306
dec_ALK_0045	ALK	NTRK2	22429	0.0684
dec_ALK_0045	ALK	NTRK3	22412	0.0620
dec_ALK_0045	ALK	ROS1	9115	0.0635
dec_ALK_0046	ALK	NTRK1	20132	0.1265
dec_ALK_0046	ALK	NTRK2	22429	0.0929
dec_ALK_0046	ALK	NTRK3	22412	0.1567
dec_ALK_0046	ALK	ROS1	9115	0.1078
dec_ALK_0047	ALK	NTRK1	20132	0.0214
dec_ALK_0047	ALK	NTRK2	22429	0.0599
dec_ALK_0047	ALK	NTRK3	22412	0.0805
dec_ALK_0047	ALK	ROS1	9115	0.0376
dec_ALK_0048	ALK	NTRK1	20132	0.1506
dec_ALK_0048	ALK	NTRK2	22429	0.1228
dec_ALK_0048	ALK	NTRK3	22412	0.1670
dec_ALK_0048	ALK	ROS1	9115	0.0887
dec_ALK_0049	ALK	NTRK1	20132	0.0671
dec_ALK_0049	ALK	NTRK2	22429	0.0848
dec_ALK_0049	ALK	NTRK3	22412	0.1022
dec_ALK_0049	ALK	ROS1	9115	0.1187
dec_ALK_0050	ALK	NTRK1	20132	0.1679
dec_ALK_0050	ALK	NTRK2	22429	0.1110
dec_ALK_0050	ALK	NTRK3	22412	0.1447
dec_ALK_0050	ALK	ROS1	9115	0.1419
dec_ALK_0051	ALK	NTRK1	20132	0.0253
dec_ALK_0051	ALK	NTRK2	22429	0.0611
dec_ALK_0051	ALK	NTRK3	22412	0.0834
dec_ALK_0051	ALK	ROS1	9115	0.1071
dec_ALK_0052	ALK	NTRK1	20132	0.0053
dec_ALK_0052	ALK	NTRK2	22429	0.0322
dec_ALK_0052	ALK	NTRK3	22412	0.0535
dec_ALK_0052	ALK	ROS1	9115	0.0687
dec_ALK_0053	ALK	NTRK1	20132	0.0405
dec_ALK_0053	ALK	NTRK2	22429	0.0401
dec_ALK_0053	ALK	NTRK3	22412	0.0601
dec_ALK_0053	ALK	ROS1	9115	0.0929
dec_ALK_0054	ALK	NTRK1	20132	0.1155
dec_ALK_0054	ALK	NTRK2	22429	0.1115
dec_ALK_0054	ALK	NTRK3	22412	0.1393
dec_ALK_0054	ALK	ROS1	9115	0.0442
dec_ALK_0055	ALK	NTRK1	20132	0.0003
dec_ALK_0055	ALK	NTRK2	22429	0.0412
dec_ALK_0055	ALK	NTRK3	22412	0.0538
dec_ALK_0055	ALK	ROS1	9115	0.0520
dec_ALK_0056	ALK	NTRK1	20132	0.0464
dec_ALK_0056	ALK	NTRK2	22429	0.0571
dec_ALK_0056	ALK	NTRK3	22412	0.0566
dec_ALK_0056	ALK	ROS1	9115	0.0879
dec_ALK_0057	ALK	NTRK1	20132	0.1587
dec_ALK_0057	ALK	NTRK2	22429	0.1075
dec_ALK_0057	ALK	NTRK3	22412	0.1359
dec_ALK_0057	ALK	ROS1	9115	0.0039
dec_ALK_0058	ALK	NTRK1	20132	-0.0092
dec_ALK_0058	ALK	NTRK2	22429	0.0335
dec_ALK_0058	ALK	NTRK3	22412	0.0550
dec_ALK_0058	ALK	ROS1	9115	0.1001
dec_ALK_0059	ALK	NTRK1	20132	-0.0228
dec_ALK_0059	ALK	NTRK2	22429	0.0187
dec_ALK_0059	ALK	NTRK3	22412	0.0299
dec_ALK_0059	ALK	ROS1	9115	0.0908
dec_ALK_0060	ALK	NTRK1	20132	0.0389
dec_ALK_0060	ALK	NTRK2	22429	0.1117
dec_ALK_0060	ALK	NTRK3	22412	0.1069
dec_ALK_0060	ALK	ROS1	9115	0.1018
dec_ALK_0061	ALK	NTRK1	20132	0.0161
dec_ALK_0061	ALK	NTRK2	22429	0.0600
dec_ALK_0061	ALK	NTRK3	22412	0.0660
dec_ALK_0061	ALK	ROS1	9115	0.1126
dec_ALK_0062	ALK	NTRK1	20132	0.0121
dec_ALK_0062	ALK	NTRK2	22429	0.0445
dec_ALK_0062	ALK	NTRK3	22412	0.0543
dec_ALK_0062	ALK	ROS1	9115	0.1074
dec_ALK_0063	ALK	NTRK1	20132	0.0367
dec_ALK_0063	ALK	NTRK2	22429	0.0724
dec_ALK_0063	ALK	NTRK3	22412	0.0608
dec_ALK_0063	ALK	ROS1	9115	0.0635
dec_ALK_0064	ALK	NTRK1	20132	0.0573
dec_ALK_0064	ALK	NTRK2	22429	0.1264
dec_ALK_0064	ALK	NTRK3	22412	0.1120
dec_ALK_0064	ALK	ROS1	9115	0.0661
dec_ALK_0065	ALK	NTRK1	20132	0.0209
dec_ALK_0065	ALK	NTRK2	22429	0.0834
dec_ALK_0065	ALK	NTRK3	22412	0.0862
dec_ALK_0065	ALK	ROS1	9115	0.0664
dec_ALK_0066	ALK	NTRK1	20132	0.0161
dec_ALK_0066	ALK	NTRK2	22429	0.0600
dec_ALK_0066	ALK	NTRK3	22412	0.0660
