drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
273317	0.36112848	59	O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N4CC5(Cc6ccccc6C5)C4)nc(Cl)nc32)[C@@H](O)C1O	A			
273138	0.3608513	60	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc(Cl)nc2)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
273369	0.3607024	61	O=c1[nH]cc(-c2cc(N3CC(C(F)(F)F)C3)c3nccn3n2)c(=O)[nH]1	A			
273372	0.36047742	62	O=c1[nH]cc(-c2cc(N3CC(C4CC4(F)F)C3)c3nccn3n2)c(=O)[nH]1	A			
272791	0.36039275	63	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(NC4CCOC4)nc(Cl)nc32)[C@@H]1O	A			
272406	0.36017883	64	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3c(F)cnc23)CC1(F)F	A			
272337	0.36016297	65	CC(C)(C)[C@@H]1C[C@H]1c1cc(-c2c[nH]c(=O)[nH]c2=O)nn2ccnc12	A			
273685	0.3601113	66	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3nc(C(F)(F)F)cs3)c3nccn3n2)c(=O)[nH]1	A			
272751	0.35994673	67	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NC4(CO)CC4)nc(Cl)nc32)[C@@H]1O	A			
272745	0.35993543	68	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N4CC(CO)C4)nc(Cl)nc32)[C@@H]1O	A			
273500	0.35988712	69	O=c1[nH]cc(-c2cc(OCC(F)(F)C(F)(F)F)c3nccn3n2)c(=O)[nH]1	A			
272789	0.35980415	70	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(NC4CC4)nc(Cl)nc32)[C@@H]1O	A			
273423	0.3597767	71	O=c1[nH]cc(-c2cc(N3CC4CCC4(F)C3)c3nccn3n2)c(=O)[nH]1	A			
273690	0.35939628	72	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ncc(C(F)(F)F)s3)c3nccn3n2)c(=O)[nH]1	A			
272839	0.3593102	73	CNC(=O)c1cccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)c1	A			
273590	0.35900024	74	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ccc(Cl)nc3)c3nccn3n2)c(=O)[nH]1	A			
272846	0.3587699	75	COC(=O)c1ccc(C2CCN(c3cc(-c4c[nH]c(=O)[nH]c4=O)nn4ccnc34)C2)cc1	A			
273354	0.35859066	76	O=c1[nH]cc(-c2cc(-c3cnn(C(F)F)c3)c3nccn3n2)c(=O)[nH]1	A			
272747	0.3584509	77	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N4CCC4CO)nc(Cl)nc32)[C@@H]1O	A			
273178	0.35835278	78	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccccc2F)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
272749	0.3582037	79	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NC(C)C)nc(Cl)nc32)[C@@H]1O	A			
272744	0.35788643	80	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N4CC(C)(O)C4)nc(Cl)nc32)[C@@H]1O	A			
273684	0.35754558	81	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3cnn(C(F)F)c3)c3nccn3n2)c(=O)[nH]1	A			
273158	0.35740918	82	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc3c(c2)OC(F)(F)O3)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
272923	0.35738614	83	COc1ncc(-c2cc(N3CC(OCC(F)(F)F)C(F)(F)C3)c3nccn3n2)c(OC)n1	A			
272404	0.35695443	84	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3c(Cl)cnc23)CC1(F)F	A			
272339	0.3567113	85	CC(C)(COc1cc(-c2c[nH]c(=O)[nH]c2=O)nn2ccnc12)C(F)(F)F	A			
272753	0.35667002	86	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NCC4(O)CC4)nc(Cl)nc32)[C@@H]1O	A			
273168	0.3561922	87	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2cccc(OC(F)(F)F)c2)(C(=O)O)c2nn[nH]n2)[C@@H](O)[C@H]1O	A			
272779	0.35608807	88	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(N4CCCCCC4)nc(Cl)nc32)[C@@H]1O	A			
273383	0.3559523	89	O=c1[nH]cc(-c2cc(N3CC(F)(F)C(F)(F)C3)c3nccn3n2)c(=O)[nH]1	A			
272780	0.355907	90	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(N4CCC[C@@H]4CO)nc(Cl)nc32)[C@@H]1O	A			
272955	0.35577267	91	C[C@@H]1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC1(F)F	A			
272817	0.3555018	92	C#C[C@@]1(O)[C@@H](COC(Cc2ccnc(Cl)c2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@@H]1O	A			
272457	0.355399	93	CN(C)C(=O)c1cccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)c1	A			
273088	0.35524106	94	N#Cc1cncc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)c1	A			
272399	0.3547232	95	CC1(C)CN(C(=O)c2cccc([C@H]3C[C@@H]3c3cc(-c4c[nH]c(=O)[nH]c4=O)nn4ccnc34)c2)C1	A			
273255	0.35454333	96	O=C(c1cccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)c1)N1CC(F)(F)C1	A			
273379	0.35439372	97	O=c1[nH]cc(-c2cc(N3CC(F)(C(F)(F)F)C3)c3ncnn3n2)c(=O)[nH]1	A			
272391	0.3541757	98	CC1(C)CC(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3c(Cl)c(Cl)nc23)CC1(F)F	A			
273249	0.35370886	99	O=C(c1ccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)cc1)N1CCC1	A			
273137	0.35318345	100	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc(Cl)cc2F)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
272783	0.3531367	101	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(N4CC[C@@H](CO)C4)nc(Cl)nc32)[C@@H]1O	A			
273236	0.352918	102	O=C(OC1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC1(F)F)N1CC(F)(F)C1	A			
273475	0.35289884	103	O=c1[nH]cc(-c2cc(N3C[C@@H](O)C(F)(F)C3)c3nccn3n2)c(=O)[nH]1	A			
272954	0.35288793	104	C[C@@H]1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3c(Cl)cnc23)CC1(F)F	A			
272425	0.3527665	105	CC1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC1(F)F	A			
273034	0.35245517	106	Cn1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1	A			
272364	0.35222536	107	CC(C)[C@@H]1CCN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)C1	A			
273696	0.352222	108	O=c1[nH]cc(-c2cc([C@H]3C[C@]3(F)c3ccccc3)c3nccn3n2)c(=O)[nH]1	A			
273241	0.35218382	109	O=C(OCC(F)F)O[C@@H]1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC1(F)F	A			
273321	0.35214502	110	O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N4CCCC4)nc(Cl)nc32)[C@@H](F)[C@@H]1O	A			
273242	0.35181844	111	O=C(OCC(F)F)O[C@H]1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC1(F)F	A			
273679	0.35176694	112	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3cnc4c(F)nn(CC(F)(F)F)c4c3)c3nccn3n2)c(=O)[nH]1	A			
273140	0.35170317	113	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc(F)cc2)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
273150	0.35168296	114	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc(OC(F)(F)F)cc2)(C(=O)O)c2nn[nH]n2)[C@@H](O)[C@H]1O	A			
273078	0.35167307	115	N#Cc1ccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)cc1C1CC1	A			
273134	0.3515925	116	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc(CO)cc2)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
273619	0.35157573	117	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ccc4c(c3)OC(F)(F)O4)c3nccn3n2)c(=O)[nH]1	A			
273079	0.35156542	118	N#Cc1ccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)cc1Cl	A			
