drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
520673	0.2947814	70	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@H](F)[C@H](n4nnc5c(=O)[nH]cnc54)O[C@@H]3COP(=O)(O)O[C@H]2[C@H]1F	A			
8588	0.29475614	71	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)([O-])O[C@H]4[C@@H](O)[C@H](n5cnc6c(=O)[nH]c(N)nc65)O[C@@H]4CO[P@@](=O)([O-])O[C@H]3[C@H]2O)c(=O)[nH]1	A			
520667	0.29441082	72	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3CO[P@](=O)(S)O[C@H]2[C@H]1F	A			
521168	0.2942305	73	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cc(Cl)cnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
520676	0.2940821	74	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@H]4OO[C@]3(CO[P@](=O)(S)O[C@H]2[C@H]1F)O[C@H]4n1cnc2c(N)ncnc21	A			
520675	0.293337	75	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@H]4OO[C@]3(CO[P@@](=O)(S)O[C@H]2[C@H]1F)O[C@H]4n1cnc2c(N)ncnc21	A			
521115	0.2925032	76	Nc1cc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
521064	0.29221267	77	CO[C@@H]1[C@H]2OP(=O)(S)OCc3nc4cncnc4n3CCOP(=O)(S)OC[C@H]1O[C@@H]2n1cnc2c(=O)[nH]c(N)nc21	A			
5016	0.29203233	78	CO[C@@H]1[C@H](O[P@@](=O)([O-])OC[C@H]2C[N@H+](Cc3c[nH]c4c(N)ncnc34)C[C@@H]2O[P@@](=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(=[NH2+])[nH]c43)[C@H](OC)[C@@H]2O[P@](=O)([O-])OCCCO)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=[NH2+])[nH]c21	B			
12866	0.29182187	79	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)([O-])O[C@H]3[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)O[C@@H]3CO[P@](=O)([O-])O[C@H]2[C@H]1O	B			
510032	0.2916805	80	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4C[C@H](C4)n4c(nc5cncnc54)COP(=O)(S)O[C@@H]2C3)c(=O)[nH]1	A			
521116	0.291532	81	Nc1cc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
510018	0.29143628	82	Nc1cc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
520686	0.29136115	83	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(S)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3CNS(=O)(=O)O[C@H]2[C@H]1F	A			
510037	0.29094043	84	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
520656	0.2908207	85	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3O)c(=O)[nH]1	A			
510029	0.29073802	86	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
