drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
190888	0.28037235	188	CC(C)(O)c1cccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B			
39753	0.2796918	189	CC(C)c1nn(Cc2nnc(-c3cccnc3Cl)o2)c(=O)c2cc3sc(Cl)cc3n12	A			
19895	0.2791972	190	C#CCNS(=O)(=O)c1ccc(CCN(CCC)Cc2cc(Cl)ccc2OC)cc1	B			
19905	0.27905077	191	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2c[nH]c3ccccc23)cc1	B			
190906	0.27889708	192	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccc(F)c1	B			
39829	0.27872527	193	O=c1[nH]c(N2CC(F)C2)nc2nn(-c3ccc(C(F)(F)F)cc3Cl)cc12	A			
39816	0.2781872	194	O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1ccncc1	A			
19923	0.27711308	195	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cccc3c2OCO3)C(=O)Cc2ccc(F)cc2)cc1	B			
39434	0.27704564	196	COC(=O)C(Cc1ccccc1O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2	A			
39701	0.27694654	197	CC(C)(O)c1nc(CO)c(S(N)(=O)=NC(=O)Nc2c3c(c(C#N)c4c2CCC4)CCC3)s1	A			
39605	0.2767389	198	Cn1cnc(Cc2cc(=O)n3nc(Nc4c5c(cc6c4CCC6)CCC5)nc3[nH]2)c1	A			
39842	0.2764756	199	O=c1[nH]c(N2CCOCC2)nc2nn(-c3ccc(Br)cc3OC3CCC3)cc12	A			
166649	0.27640766	200	C/C=C(\C)C(=O)O[C@@H]1C[C@H]2C(=C1C)[C@@H]1OC(=O)[C@@](C)(O)[C@@]1(O)[C@@H](OC(=O)[C@H](C)CC)C[C@@]2(C)OC(C)=O	B			
190903	0.27617598	201	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(F)cc1F	B			
19920	0.2760802	202	C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2cscn2)cc1	B			
39436	0.2758811	203	COC(=O)[C@@H](Cc1ccccn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2	A			
39789	0.27578548	204	CCOC(=O)[C@@H](Cc1cnccn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2	A			
20226	0.27517748	205	COc1ccc(C(=O)/C=C/c2cc(C)c(O)c(C)c2)cc1	B			
39569	0.27474385	206	Cc1ccc(C2(C#N)CC2)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1	A			
