target_group	target_gene	drug_name	indication	clinical_stage	pubchem_cid	pubchem_status	smiles_input	smiles_canonical	drug_idx	resolution_method	target_pidx_canonical	n_target_pidxs_in_training	leakage_class
ALK	ALK	crizotinib	NSCLC ALK+	approved	11626560	hit	C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	136711	strict_canonical	19715	36	B
ALK	ALK	alectinib	NSCLC ALK+	approved	49806720	hit	CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C	CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	100339	strict_canonical	19715	36	B
ALK	ALK	brigatinib	NSCLC ALK+	approved	68165256	hit	CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1	178833	strict_canonical	19715	36	B
ALK	ALK	lorlatinib	NSCLC ALK+	approved	71731823	hit	C[C@@H]1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C	C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21	7056	strict_canonical	19715	36	A
ALK	ALK	ceritinib	NSCLC ALK+	approved	57379345	hit	CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl	Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1	39306	strict_canonical	19715	36	B
PARP1_2	PARP1	olaparib	BRCA-mutated cancers	approved	23725625	hit	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1	9563	strict_canonical	20400	37	B
PARP1_2	PARP2	olaparib	BRCA-mutated cancers	approved	23725625	hit	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1	9563	strict_canonical	19677	5	A
PARP1_2	PARP1	niraparib	ovarian cancer	approved	24958200	hit	C1C[C@H](CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N	NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12	60969	strict_canonical	20400	37	B
PARP1_2	PARP1	rucaparib	BRCA-mutated cancers	approved	9931954	hit	CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2	CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1	60963	strict_canonical	20400	37	B
PARP1_2	PARP1	talazoparib	BRCA-mutated cancers	approved	135565082	hit	CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F	Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1	9335	strict_canonical	20400	37	A
MEK1_2	MAP2K1	trametinib	melanoma BRAF-mutant	approved	11707110	hit	CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5	CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1	355308	strict_canonical	22185	23	B
MEK1_2	MAP2K2	trametinib	melanoma BRAF-mutant	approved	11707110	hit	CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5	CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1	355308	strict_canonical	21383	1	A
MEK1_2	MAP2K1	cobimetinib	melanoma	approved	16222096	hit	C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O	O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1	355315	strict_canonical	22185	23	B
MEK1_2	MAP2K2	cobimetinib	melanoma	approved	16222096	hit	C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O	O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1	355315	strict_canonical	21383	1	A
MEK1_2	MAP2K1	binimetinib	melanoma	approved	10288191	hit	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO	Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21	-1	miss	22185	23	C
MEK1_2	MAP2K1	selumetinib	neurofibromatosis type 1	approved	10127622	hit	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21	-1	miss	22185	23	C
