source	class_strict	stratum	n	pearson_r	spearman_r	rmse	ci	mean_err	cos_spearman
bindingdb	B_drug_seen_only	WEAK	196	0.471097651382585	0.4737890837418805	1.8267257715415623	0.66300395256917	1.5952131718817466	-0.028850403512810267
bindingdb	B_drug_seen_only	ALL	8770	0.020016043469369485	-0.035413366426706776	1.5564510516205157	0.4838398796123791	0.7660293380625094	0.4206077505326756
bindingdb	B_combo	TIGHT	3049	0.030469687451777236	0.01657930692550741	1.8011141749518054	0.5060474755043791	-1.4859070391681162	-0.04864827152880497
bindingdb	B_combo	MODERATE	21129	0.035972382012686314	0.037525215126095336	1.498781612236961	0.5248765860497061	1.2724303660826006	0.270027895323802
bindingdb	B_combo	WEAK	291	0.4106720015065703	0.32105316656020294	1.7757951874164168	0.6119320767370009	1.516037130337484	0.06466290491233818
bindingdb	B_combo	ALL	24469	0.10196306589644734	0.0913598256473483	1.543194715852498	0.5380016058037056	0.9316203133541988	0.32896943060321365
bindingdb	C_strict	TIGHT	1032	0.09846775875598372	0.1307526274585535	2.0062201417365646	0.5452317471594935	-1.6780263015719796	0.17256741132793046
bindingdb	C_strict	MODERATE	2137	0.14032076496325666	0.11759171568044972	1.0312259266407553	0.5384133781926688	0.4778128183464398	0.30691878597251604
bindingdb	C_strict	WEAK	1159	0.2862436321626121	0.27386609821243474	1.9303419724499136	0.5913332763755675	1.658380881457943	-0.07899818776146864
bindingdb	C_strict	ALL	4328	0.39512223429319016	0.38987596109364764	1.5756456525957536	0.633724946112997	0.27990441108914393	0.221425483199729
ALL_3_C_STRICT	C_strict	TIGHT	1286	0.08093171433891892	0.09864288358259046	1.906706652355292	0.5339927022485786	-1.5789649464642075	0.20350378968766505
ALL_3_C_STRICT	C_strict	MODERATE	2921	0.12464757468577545	0.11211712753651414	0.9910614012108525	0.5371561034739276	0.459231307334731	0.23311234959905205
ALL_3_C_STRICT	C_strict	WEAK	1159	0.2862436321626121	0.27386609821243474	1.9303419724499136	0.5913332763755675	1.658380881457943	-0.07899818776146864
ALL_3_C_STRICT	C_strict	ALL	5366	0.3744364287232297	0.34975996162103534	1.4868660388146926	0.619390628887516	0.22976689697755018	0.19082457809176986
