source	class_strict	stratum	n	pearson_raw	spearman_raw	rmse_raw	ci_raw	mean_err_raw	pearson_recal	spearman_recal	rmse_recal	ci_recal	mean_err_recal
davis	B_drug_seen_only	MODERATE	919	-0.004919059572854422	0.011161108679069753	1.0521884918284317	0.503881220065058	0.7303580066415465	-0.004919059572854441	0.011161108679069753	1.400295366935299	0.503881220065058	1.259435332456676
davis	B_drug_seen_only	ALL	1262	0.03616087833058678	0.033782919527922346	1.2128127789277188	0.5114263906405199	0.19183266608494742	0.03616087833058677	0.033782919527922346	1.328679459074204	0.5114263906405199	0.7163417431384496
davis	B_combo	TIGHT	566	0.14946269600801085	0.12638603627403927	1.3760799241341002	0.5425493060628196	-1.0951516251851714	0.149462696008011	0.12638603627403927	0.9634811479866892	0.5425493060628196	-0.6103854805175538
davis	B_combo	MODERATE	1998	0.032882306241596604	0.030297133532833677	1.073748339359005	0.5102920654285638	0.7399406618014492	0.03288230624159651	0.030297133532833677	1.4189407121439426	0.5102920654285638	1.2744254997704423
davis	B_combo	ALL	2564	0.11104457940464492	0.0915984434567522	1.1473601991123472	0.5308743088269642	0.33484618659301424	0.11104457940464499	0.0915984434567522	1.331862939917335	0.5308743088269642	0.8583556811889269
davis	C_strict	TIGHT	254	-0.07846691945634622	-0.08903689766751612	1.4329849341013599	0.46977298382039384	-1.1764794406719996	-0.0784669194563462	-0.08903689766751612	0.8957639925816041	0.46977298382039384	-0.5810480645436383
davis	C_strict	MODERATE	784	0.04095634463973476	0.03455585809115045	0.872241116399397	0.5114972198200035	0.40858246928368286	0.0409563446397347	0.03455585809115045	1.1970763384473109	0.5114972198200035	1.0252546161893747
davis	C_strict	ALL	1038	0.03973367638106498	0.03530025693660739	1.037841810673676	0.5116958955049566	0.02071568206909391	0.03973367638106492	0.03530025693660739	1.130788850702504	0.5116958955049566	0.6321901837171345
bindingdb	A	TIGHT	1834	0.23212379320321863	0.2201746489440066	1.5673327089856508	0.5748622521857505	-1.3004997000838132	0.23212379320321852	0.2201746489440066	1.1566719050273406	0.5748622521857505	-0.8460513132276898
bindingdb	A	MODERATE	1096	0.10147204872230382	0.07617764488277232	0.9774844767696614	0.5273108246076407	0.44839008605374153	0.1014720487223037	0.07617764488277232	1.2526193163150874	0.5273108246076407	1.0299817232010766
bindingdb	A	WEAK	88	0.2122907694778109	0.17857920924413173	1.5718059538601339	0.5595682302771855	1.3266885578833736	0.212290769477811	0.17857920924413173	2.28710972209974	0.5595682302771855	2.201931572569936
bindingdb	A	ALL	3018	0.3639202095965579	0.3310824887543563	1.382688032385262	0.6146316148693483	-0.5887781055484015	0.3639202095965579	0.3310824887543563	1.2390930586227864	0.6146316148693483	-0.07588739610505266
bindingdb	B	TIGHT	3451	0.04837341679426695	0.10023344401120234	1.6667589669979368	0.5352216529685557	-1.256612946361899	0.048373416794266905	0.10023344401120234	1.2560627604833263	0.5352216529685557	-0.823117969930982
bindingdb	B	MODERATE	5462	0.14942186207382285	0.14806457492080266	1.1856401771855696	0.5499310036248067	0.725212151766912	0.1494218620738229	0.14806457492080266	1.486937236776697	0.5499310036248067	1.2876986529661127
bindingdb	B	WEAK	2052	0.28576540296197117	0.27744241892149174	2.0778737290024294	0.5963133263563692	1.8418092220581355	0.28576540296197117	0.27744241892149174	2.7653165630101224	0.5963133263563692	2.6599748951893925
bindingdb	B	ALL	10965	0.400153028216551	0.397542232068827	1.5435602568724784	0.6385717231494175	0.31043593421972226	0.4001530282165511	0.397542232068827	1.740392178511977	0.6385717231494175	0.8801731338985611
bindingdb	B_drug_seen_only	TIGHT	1492	0.10101750425155748	0.10206873878716975	1.8341666278004272	0.5347151481066568	-1.5220602035321906	0.10101750425155745	0.10206873878716975	1.291302811448435	0.5347151481066568	-0.9340049985653072
bindingdb	B_drug_seen_only	MODERATE	7082	-0.1278864004094384	-0.12205293610574505	1.4828540683014237	0.435227076518436	1.2251241650366302	-0.12788640040943838	-0.12205293610574505	1.927879772986726	0.435227076518436	1.8035577529365818
bindingdb	B_drug_seen_only	WEAK	196	0.471097651382585	0.4737890837418805	1.8267257715415623	0.66300395256917	1.5952131718817466	0.4710976513825851	0.4737890837418805	2.650056086098917	0.66300395256917	2.544998997742292
bindingdb	B_drug_seen_only	ALL	8770	0.020016043469369485	-0.035413366426706776	1.5564510516205157	0.4838398796123791	0.7660293380625094	0.02001604346936948	-0.035413366426706776	1.8552565461872381	0.4838398796123791	1.3543991279355672
bindingdb	B_combo	TIGHT	3049	0.030469687451777236	0.01657930692550741	1.8011141749518054	0.5060474755043791	-1.4859070391681162	0.030469687451777226	0.01657930692550741	1.308858426083505	0.5060474755043791	-0.9611632755128805
bindingdb	B_combo	MODERATE	21129	0.035972382012686314	0.037525215126095336	1.498781612236961	0.5248765860497061	1.2724303660826006	0.03597238201268635	0.037525215126095336	1.951713132375429	0.5248765860497061	1.8495812424424363
bindingdb	B_combo	WEAK	291	0.4106720015065703	0.32105316656020294	1.7757951874164168	0.6119320767370009	1.516037130337484	0.4106720015065703	0.32105316656020294	2.5135886894236585	0.6119320767370009	2.416258257001016
bindingdb	B_combo	ALL	24469	0.10196306589644734	0.0913598256473483	1.543194715852498	0.5380016058037056	0.9316203133541988	0.10196306589644746	0.0913598256473483	1.891517193743858	0.5380016058037056	1.506083060088878
bindingdb	C_strict	TIGHT	1032	0.09846775875598372	0.1307526274585535	2.0062201417365646	0.5452317471594935	-1.6780263015719796	0.09846775875598378	0.1307526274585535	1.4622851658815093	0.5452317471594935	-1.0923160611329477
